Species,Type,Sample.Length,Length,Area,Volume.bone,Volume.Squish,PercSquish,Angle,Force,Npermm,AnteriorContact,PosteriorContact,Height,IVL,k,IVLratio,Stiffness,Stress
Isopsetta Isolepsis,Real,15,51,979,38788,23451,37.7,29,4.9,0.33,,,,,,,,
Isopsetta Isolepsis,Real,10,51,979,38788,23451,37.7,29,3.45,0.35,,,,,,,,
Isopsetta Isolepsis,Real,12,51,979,38788,23451,37.7,29,5.76,0.48,,,,,,,,
Isopsetta Isolepsis,Real,16,51,979,38788,23451,37.7,29,10.68,0.67,,,,,,,,
Dasycottus Setiger,Real,15,29,310,7210,3594,33.3,29,6.71,0.45,,,,,,,,
Dasycottus Setiger,Real,13,29,310,7210,3594,33.3,29,5.37,0.41,,,,,,,,
Dasycottus Setiger,Real,13,29,310,7210,3594,33.3,29,5.42,0.42,,,,,,,,
Dasycottus Setiger,Real,12,29,310,7210,3594,33.3,29,3.36,0.28,,,,,,,,
Apodichthys Flavidus,Real,10,53,763,47800,15799,24.8,29,10.02,1.00,,,,,,,,
Apodichthys Flavidus,Real,10,53,763,47800,15799,24.8,29,10.53,1.05,,,,,,,,
Apodichthys Flavidus,Real,8,53,763,47800,15799,24.8,29,5.23,0.65,,,,,,,,
Apodichthys Flavidus,Real,8,53,763,47800,15799,24.8,29,5.38,0.67,,,,,,,,
Isopsetta Isolepsis,Real,15,51,979,38788,23451,37.7,29,5.89,0.39,,,,,,,,
Isopsetta Isolepsis,Real,11,51,979,38788,23451,37.7,29,5.23,0.48,,,,,,,,
Isopsetta Isolepsis,Real,13,51,979,38788,23451,37.7,29,4.56,0.35,,,,,,,,
Isopsetta Isolepsis,Real,14,51,979,38788,23451,37.7,29,9.02,0.64,,,,,,,,
Dasycottus Setiger,Real,16,29,310,7210,3594,33.3,29,5.27,0.33,,,,,,,,
Dasycottus Setiger,Real,14,29,310,7210,3594,33.3,29,7.55,0.54,,,,,,,,
Dasycottus Setiger,Real,14,29,310,7210,3594,33.3,29,9.04,0.65,,,,,,,,
Dasycottus Setiger,Real,13,29,310,7210,3594,33.3,29,8.64,0.66,,,,,,,,
Apodichthys Flavidus,Real,10,53,763,47800,15799,24.8,29,10.18,1.02,,,,,,,,
Apodichthys Flavidus,Real,10,53,763,47800,15799,24.8,29,10.78,1.08,,,,,,,,
Apodichthys Flavidus,Real,9,53,763,47800,15799,24.8,29,6.26,0.70,,,,,,,,
Apodichthys Flavidus,Real,7,53,763,47800,15799,24.8,29,4.92,0.70,,,,,,,,
Damalichthys Vacca,Real,14,28,328,6255,4331,40.9,29,3.4,0.24,,,,,,,,
Damalichthys Vacca,Real,10,28,328,6255,4331,40.9,29,2.88,0.29,,,,,,,,
Damalichthys Vacca,Real,10,28,328,6255,4331,40.9,29,1.18,0.12,,,,,,,,
Damalichthys Vacca,Real,10,28,328,6255,4331,40.9,29,2.78,0.28,,,,,,,,
Damalichthys Vacca,Real,14,28,328,6255,4331,40.9,29,4.17,0.29,,,,,,,,
Damalichthys Vacca,Real,10,28,328,6255,4331,40.9,29,3.59,0.36,,,,,,,,
Damalichthys Vacca,Real,10,28,328,6255,4331,40.9,29,3.05,0.31,,,,,,,,
Damalichthys Vacca,Real,10,28,328,6255,4331,40.9,29,1.78,0.18,,,,,,,,
Xiphister Mucosus,Real,14,31,168,6516,1553,19.2,29,13.21,0.94,,,,,,,,
Xiphister Mucosus,Real,13,31,168,6516,1553,19.2,29,14.45,1.11,,,,,,,,
Xiphister Mucosus,Real,15,31,168,6516,1553,19.2,29,15.72,1.05,,,,,,,,
Xiphister Mucosus,Real,13,31,168,6516,1553,19.2,29,15.47,1.19,,,,,,,,
Xiphister Mucosus,Real,14,31,168,6516,1553,19.2,29,10.54,0.75,,,,,,,,
Xiphister Mucosus,Real,13,31,168,6516,1553,19.2,29,13.47,1.04,,,,,,,,
Xiphister Mucosus,Real,14,31,168,6516,1553,19.2,29,18.31,1.31,,,,,,,,
Xiphister Mucosus,Real,13,31,168,6516,1553,19.2,29,8.91,0.69,,,,,,,,
Isopsetta Isolepsis,Model,60,51,979,38788,23451,37.7,10,3.198,0.05,,,,,,,,
Isopsetta Isolepsis,Model,60,51,979,38788,23451,37.7,29,12.55,0.21,,,,,,,,
Isopsetta Isolepsis,Model,60,51,979,38788,23451,37.7,50,18.66,0.31,,,,,,,,
Isopsetta Isolepsis,Model,60,51,979,38788,23451,37.7,10,2.228,0.04,,,,,,,,
Isopsetta Isolepsis,Model,60,51,979,38788,23451,37.7,29,7.27,0.12,,,,,,,,
Isopsetta Isolepsis,Model,60,51,979,38788,23451,37.7,50,17.515,0.29,,,,,,,,
Isopsetta Isolepsis,Model,60,51,979,38788,23451,37.7,10,2.7,0.05,,,,,,,,
Isopsetta Isolepsis,Model,60,51,979,38788,23451,37.7,29,13.095,0.22,,,,,,,,
Isopsetta Isolepsis,Model,60,51,979,38788,23451,37.7,50,24.828,0.41,,,,,,,,
Dasycottus Setiger,Model,60,29,310,7210,3594,33.3,10,2.228,0.04,,,,,,,,
