Species,Individual,Position,Shape,Depth,Association,Habitat,Mode,SL.px,Amp,Wobble,G,GJ,Dpost,Dant,alphaPost,alphaAnt,d,CBL,ASquishAnt,ASquishPost,ABoneL,ABoneR,PercSquish,PercSquishBL
A.insignis,1,20,Eel like,30,Demersal,Rocky Interdital,Anguiliform,3229.7,0.015321422,0.179099804,-1045026.423,0.000499489,0.013084232,0.013194726,65.8384164,82.83544247,0.001875507,0.017315371,4.84E-05,6.61E-05,6.06E-05,3.86E-05,0.866120409,0.866120409
A.insignis,1,30,Eel like,30,Demersal,Rocky Interdital,Anguiliform,3229.7,0.020902311,0.196005217,-274946.2163,0.000508413,0.012818528,0.012818531,63.9834749,79.27858272,0.001803272,0.017957495,4.93E-05,6.57E-05,5.50E-05,4.51E-05,0.869706629,0.869706629
A.insignis,1,40,Eel like,30,Demersal,Rocky Interdital,Anguiliform,3229.7,0.029182435,0.212910629,495133.9901,0.000517337,0.012940486,0.012942583,69.27347428,77.43807994,0.002455495,0.017367684,5.15E-05,6.05E-05,4.42E-05,4.67E-05,0.811705345,0.811705345
A.insignis,1,50,Eel like,30,Demersal,Rocky Interdital,Anguiliform,3229.7,0.025533723,0.229816042,1265214.196,0.000526262,0.012648546,0.012736151,66.77707953,97.96761494,0.001114655,0.01510782,3.52E-05,6.06E-05,4.51E-05,4.25E-05,0.913583154,0.913583154
A.insignis,1,60,Eel like,30,Demersal,Rocky Interdital,Anguiliform,3229.7,0.034813612,0.246721455,2035294.403,0.000535186,0.012614654,0.012617469,69.42655006,81.09221648,0.001650308,0.016394487,4.65E-05,5.70E-05,4.74E-05,4.25E-05,0.8692116,0.8692116
A.insignis,1,70,Eel like,30,Demersal,Rocky Interdital,Anguiliform,3229.7,0.040260691,0.263626867,2805374.609,0.00054411,0.011799357,0.01180787,65.43325155,85.00791566,0.002916624,0.015577985,3.79E-05,5.41E-05,3.63E-05,3.30E-05,0.752780928,0.752780928
A.insignis,1,80,Eel like,30,Demersal,Rocky Interdital,Anguiliform,3229.7,0.049934168,0.28053228,3575454.815,0.000553035,0.010236442,0.010345478,59.53005122,83.67519903,0.001697475,0.014487951,2.96E-05,4.55E-05,3.53E-05,2.73E-05,0.833973434,0.833973434
A.insignis,1,90,Eel like,30,Demersal,Rocky Interdital,Anguiliform,3229.7,0.067255161,0.297437692,4345535.022,0.000561959,0.008310369,0.008310609,61.71716514,68.69655323,0.001278757,0.012974586,2.51E-05,2.87E-05,2.22E-05,2.33E-05,0.846148614,0.846148614
A.insignis,2,20,Eel like,30,Demersal,Rocky Interdital,Anguiliform,3802.7,0.015321422,0.179099804,-1045026.423,0.000499489,0.01098693,0.01098693,66.161471,59.74854671,0.002154259,0.017976701,5.25E-05,4.63E-05,3.92E-05,4.03E-05,0.804451891,0.804451891
A.insignis,2,30,Eel like,30,Demersal,Rocky Interdital,Anguiliform,3802.7,0.020902311,0.196005217,-274946.2163,0.000508413,0.011020768,0.011028295,67.25965211,61.00284668,0.002312509,0.017637682,5.16E-05,4.56E-05,3.83E-05,3.85E-05,0.790950544,0.790950544
A.insignis,2,40,Eel like,30,Demersal,Rocky Interdital,Anguiliform,3802.7,0.029182435,0.212910629,495133.9901,0.000517337,0.010894922,0.010894944,68.60358258,60.79800071,0.001957609,0.017265986,5.06E-05,4.35E-05,3.92E-05,3.79E-05,0.820568291,0.820568291
A.insignis,2,50,Eel like,30,Demersal,Rocky Interdital,Anguiliform,3802.7,0.025533723,0.229816042,1265214.196,0.000526262,0.010923695,0.010926207,70.95910478,66.30995532,0.001512118,0.016023061,4.57E-05,4.19E-05,3.69E-05,3.87E-05,0.86405885,0.86405885
A.insignis,2,60,Eel like,30,Demersal,Rocky Interdital,Anguiliform,3802.7,0.034813612,0.246721455,2035294.403,0.000535186,0.010822248,0.010839029,67.2266967,69.22375702,0.002271256,0.015907825,4.20E-05,4.40E-05,3.15E-05,3.66E-05,0.791590834,0.791590834
A.insignis,2,70,Eel like,30,Demersal,Rocky Interdital,Anguiliform,3802.7,0.040260691,0.263626867,2805374.609,0.00054411,0.010088644,0.010089604,68.65277258,69.55313475,0.001602202,0.014629282,3.66E-05,3.71E-05,3.00E-05,3.21E-05,0.841603736,0.841603736
A.insignis,2,80,Eel like,30,Demersal,Rocky Interdital,Anguiliform,3802.7,0.049934168,0.28053228,3575454.815,0.000553035,0.00882019,0.008820332,67.98034885,65.32958787,0.001410408,0.01333532,3.02E-05,2.86E-05,2.08E-05,2.87E-05,0.840834451,0.840834451
A.insignis,2,90,Eel like,30,Demersal,Rocky Interdital,Anguiliform,3802.7,0.067255161,0.297437692,4345535.022,0.000561959,0.007898986,0.007899933,58.74452754,66.59742196,0.001596234,0.012965753,2.35E-05,2.77E-05,1.87E-05,2.21E-05,0.798511578,0.798511578
A.personatus,1,20,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2642,0.01460383,,,,0.007937078,0.007947187,57.73191716,62.26705209,0.002903054,0.013721524,2.61E-05,2.83E-05,1.44E-05,2.03E-05,0.636704857,0.636704857
A.personatus,1,30,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2642,0.01805044,,,,0.008424493,0.008467649,63.63522615,70.72779934,0.003776495,0.01266456,2.53E-05,2.84E-05,1.26E-05,1.72E-05,0.554079159,0.554079159
A.personatus,1,40,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2642,0.02314731,,,,0.008323445,0.008620001,69.02347338,76.61897275,0.003930268,0.011404335,2.32E-05,2.52E-05,1.05E-05,1.56E-05,0.53824395,0.53824395
A.personatus,1,50,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2642,0.03298511,,,,0.002385312,0.012520385,20.05770832,57.48652579,0.008929454,0.007211203,6.95E-05,6.50E-06,6.17E-06,2.48E-05,0.40762242,0.40762242
A.personatus,1,60,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2642,0.04100217,,,,0.00848415,0.008524885,70.28924952,67.43591445,0.004392265,0.012360015,2.68E-05,2.55E-05,1.00E-05,1.52E-05,0.480984573,0.480984573
A.personatus,1,70,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2642,0.05139249,,,,0.008366883,0.008393002,70.93814575,68.14627451,0.00464383,0.012063597,2.60E-05,2.46E-05,1.02E-05,1.24E-05,0.44663301,0.44663301
A.personatus,1,80,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2642,0.06125433,,,,0.007977769,0.008343968,64.72836723,67.92224999,0.004167566,0.012349787,2.48E-05,2.48E-05,1.03E-05,1.36E-05,0.481970242,0.481970242
A.personatus,1,90,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2642,0.07309477,,,,0.00880261,0.009185365,72.66234998,69.81686537,0.003398219,0.012459277,2.96E-05,2.61E-05,1.51E-05,1.92E-05,0.616689956,0.616689956
A.personatus,2,20,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2251,0.01460383,,,,0.007986139,0.007987054,50.68291565,53.66749116,0.00296839,0.015934632,2.98E-05,3.35E-05,1.46E-05,2.53E-05,0.631163009,0.631163009
A.personatus,2,30,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2251,0.01805044,,,,0.009168305,0.009667151,60.09392999,91.93391835,0.003938702,0.012146617,2.25E-05,3.51E-05,1.09E-05,2.33E-05,0.595345598,0.595345598
A.personatus,2,40,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2251,0.02314731,,,,0.009547068,0.009746485,72.18534182,68.55159304,0.003762415,0.013075378,3.33E-05,3.12E-05,1.57E-05,2.41E-05,0.616556639,0.616556639
A.personatus,2,50,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2251,0.03298511,,,,0.009072772,0.009395368,61.70551626,69.69033293,0.004603982,0.013958529,3.17E-05,3.44E-05,1.61E-05,1.71E-05,0.501901314,0.501901314
A.personatus,2,60,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2251,0.04100217,,,,0.009176868,0.009258704,67.31123083,60.95595782,0.004058254,0.014576238,3.62E-05,3.16E-05,1.69E-05,2.10E-05,0.559547222,0.559547222
A.personatus,2,70,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2251,0.05139249,,,,0.008984695,0.009076698,66.68441656,60.46446503,0.00476099,0.014483916,3.53E-05,3.06E-05,1.62E-05,1.49E-05,0.47268671,0.47268671
A.personatus,2,80,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2251,0.06125433,,,,0.008994524,0.009059932,70.09544646,66.25650068,0.004344478,0.013278915,3.13E-05,2.88E-05,1.70E-05,1.41E-05,0.518381056,0.518381056
A.personatus,2,90,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2251,0.07309477,,,,0.009116422,0.009118714,63.20773809,59.6795196,0.003925494,0.015343905,3.62E-05,3.37E-05,1.93E-05,2.05E-05,0.569461014,0.569461014
A.personatus,3,20,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2100,0.01460383,,,,0.009038728,0.009066722,64.8537194,62.92360897,0.003641048,0.01449284,3.35E-05,3.21E-05,2.07E-05,1.85E-05,0.597652089,0.597652089
A.personatus,3,30,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2100,0.01805044,,,,0.008742078,0.008746997,69.59361493,60.21151853,0.003864034,0.013676216,3.25E-05,2.73E-05,1.56E-05,1.76E-05,0.555983876,0.555983876
A.personatus,3,40,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2100,0.02314731,,,,0.008929781,0.009035091,66.36194632,77.84598665,0.004186944,0.012178834,2.51E-05,3.04E-05,1.46E-05,1.50E-05,0.534749962,0.534749962
A.personatus,3,50,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2100,0.03298511,,,,0.008215932,0.008670717,61.40877827,67.01479531,0.004477997,0.013189707,2.80E-05,2.81E-05,1.40E-05,1.22E-05,0.465367504,0.465367504
A.personatus,3,60,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2100,0.04100217,,,,0.0087539,0.009199362,61.91463298,65.04793692,0.004789955,0.014132969,3.32E-05,3.17E-05,1.54E-05,1.48E-05,0.465268817,0.465268817
A.personatus,3,70,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2100,0.05139249,,,,0.009643496,0.010075661,72.2422993,63.94713362,0.004584953,0.013932194,4.01E-05,3.18E-05,1.70E-05,2.14E-05,0.534381255,0.534381255
A.personatus,3,80,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2100,0.06125433,,,,0.009087768,0.009363391,72.47553434,64.66486918,0.004746261,0.012802978,3.41E-05,2.79E-05,1.57E-05,1.40E-05,0.479113286,0.479113286
A.personatus,3,90,Elongate,172,Demersal,Nearshore Pelagic,Caudal,2100,0.07309477,,,,0.008912827,0.009497029,68.55518256,60.39557682,0.004316747,0.013935746,3.87E-05,2.90E-05,1.67E-05,1.88E-05,0.52471006,0.52471006
A.purpureus,1,20,Eel like,30,Demersal,Rocky Interdital,Anguiliform,3101.6,0.02375991,,,,0.01249528,0.012592295,60.33306183,75.89678989,0.001892162,0.018696399,5.07E-05,6.71E-05,5.53E-05,4.47E-05,0.848622775,0.848622775
A.purpureus,1,30,Eel like,30,Demersal,Rocky Interdital,Anguiliform,3101.6,0.0237054,,,,0.012542473,0.012582156,55.67876485,79.61667061,0.002003459,0.019263271,4.74E-05,7.38E-05,5.08E-05,5.17E-05,0.845914341,0.845914341
A.purpureus,1,40,Eel like,30,Demersal,Rocky Interdital,Anguiliform,3101.6,0.02784606,,,,0.01191716,0.011949756,64.18923439,80.3559313,0.001735191,0.016554571,4.23E-05,5.66E-05,4.48E-05,3.99E-05,0.856982701,0.856982701
